name,filename,source_url,source_page,status
Angeliki Stogia,angeliki-stogia.jpg,https://candidates.democracyclub.org.uk/media/cache/d9/a7/d9a74ba07504caf0f53d60982237ebff.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Charlotte Anne Cadden,charlotte-anne-cadden.jpg,https://candidates.democracyclub.org.uk/media/cache/46/2f/462f682901229a79108c75206a416a9c.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Dan Clarke,dan-clarke.jpg,https://candidates.democracyclub.org.uk/media/cache/1f/7b/1f7be67c9cedd57306f81a98c8e9c71e.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Hannah Spencer,hannah-spencer.jpg,https://candidates.democracyclub.org.uk/media/cache/80/95/809512ba3ef87ca7dea16c20fc2565f7.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Hugo Wils,hugo-wils.jpg,https://candidates.democracyclub.org.uk/media/cache/43/63/4363948c20ad4a37c71cb5d1e2581503.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Jackie Pearcey,jackie-pearcey.jpg,https://candidates.democracyclub.org.uk/media/cache/a8/15/a81551db1c010a11173a02a6c39f9169.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Joseph O’Meachair,joseph-omeachair.jpg,https://candidates.democracyclub.org.uk/media/cache/33/ca/33ca05ada12364a63e218bdd67108cd2.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Matt Goodwin,matt-goodwin.jpg,https://candidates.democracyclub.org.uk/media/cache/c2/01/c201ea749bb10b09f7827c0b358d2722.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Nick Buckley,nick-buckley.jpg,https://candidates.democracyclub.org.uk/media/cache/a3/58/a358f59ced44b90303700689f6a498bc.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Nick Buckley MBE,nick-buckley-mbe.jpg,https://candidates.democracyclub.org.uk/media/cache/a3/58/a358f59ced44b90303700689f6a498bc.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Sebastian Moore,sebastian-moore.jpg,https://candidates.democracyclub.org.uk/media/cache/34/2a/342ac6da71b4d5813dfda9dc21a389a0.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Sir Oink A‑Lot,sir-oink-a-lot.jpg,https://candidates.democracyclub.org.uk/media/cache/9a/06/9a06e6de79e56604f123b1516451a0e4.jpg,https://whocanivotefor.co.uk/elections/parl.gorton-and-denton.by.2026-02-26/gorton-and-denton/,OK
Keir Starmer,keir-starmer.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Keir_Starmer_2020.jpg,https://commons.wikimedia.org/wiki/File:Keir_Starmer_2020.jpg,OK
Kevin Hollinrake,kevin-hollinrake.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Official_portrait_of_Kevin_Hollinrake_crop_2.jpg/500px-Official_portrait_of_Kevin_Hollinrake_crop_2.jpg,https://commons.wikimedia.org/wiki/File:Official_portrait_of_Kevin_Hollinrake_crop_2.jpg,OK
William Clouston,william-clouston.jpg,https://candidates.democracyclub.org.uk/media/cache/0e/62/0e62b34291e66d4740e2a8f320301637.jpg,https://candidates.democracyclub.org.uk/person/71818,OK
labour-spokesperson,labour-spokesperson.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Labour_Party_Wordmark.svg/3840px-Labour_Party_Wordmark.svg.png,3840x890,ba25786f006fc7bca1dd355df17ab7ed5cc62cb845fe380bd32155109fa91741
press-association,press-association.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Press_Association_Logo.png,3366x3366,0436d48a5ba2b44e4aa62d76d130007824188dc2a144502baa03b7879e198744
rejoin-eu-party,rejoin-eu-party.jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/The_Rejoin_EU_Party.png,1099x1099,21dcbea11d1fd32f67c56a4a77a824801a5cce74379f391c9129fa852bbcec78
